Date,RSEASN
2000-01-01,6591
2000-02-01,6503
2000-03-01,6716
2000-04-01,6071
2000-05-01,6360
2000-06-01,6343
2000-07-01,6296
2000-08-01,6780
2000-09-01,6422
2000-10-01,6170
2000-11-01,7308
2000-12-01,10646
2001-01-01,6372
2001-02-01,5934
2001-03-01,6294
2001-04-01,5547
2001-05-01,5955
2001-06-01,6163
2001-07-01,6168
2001-08-01,6669
2001-09-01,5926
2001-10-01,6130
2001-11-01,7686
2001-12-01,11396
2002-01-01,6583
2002-02-01,6254
2002-03-01,6620
2002-04-01,5994
2002-05-01,6508
2002-06-01,6539
2002-07-01,6522
2002-08-01,6964
2002-09-01,6293
2002-10-01,6444
2002-11-01,7703
2002-12-01,11316
2003-01-01,6512
2003-02-01,6010
2003-03-01,6350
2003-04-01,5868
2003-05-01,6541
2003-06-01,6607
2003-07-01,6791
2003-08-01,7380
2003-09-01,6755
2003-10-01,6900
2003-11-01,8282
2003-12-01,12446
2004-01-01,7131
2004-02-01,6917
2004-03-01,7188
2004-04-01,6614
2004-05-01,7086
2004-06-01,7344
2004-07-01,7387
2004-08-01,7753
2004-09-01,7250
2004-10-01,7231
2004-11-01,8877
2004-12-01,13118
2005-01-01,7534
2005-02-01,7463
2005-03-01,7803
2005-04-01,7133
2005-05-01,7542
2005-06-01,7806
2005-07-01,7795
2005-08-01,8373
2005-09-01,7814
2005-10-01,7785
2005-11-01,9548
2005-12-01,13865
2006-01-01,8384
2006-02-01,7854
2006-03-01,8253
2006-04-01,7408
2006-05-01,8022
2006-06-01,8154
2006-07-01,8099
2006-08-01,8676
2006-09-01,8025
2006-10-01,7746
2006-11-01,10007
2006-12-01,14849
2007-01-01,8397
2007-02-01,8022
2007-03-01,8247
2007-04-01,7413
2007-05-01,8146
2007-06-01,8141
2007-07-01,8160
2007-08-01,8880
2007-09-01,7979
2007-10-01,8024
2007-11-01,10592
2007-12-01,14598
2008-01-01,8412
2008-02-01,8444
2008-03-01,8259
2008-04-01,7740
2008-05-01,8593
2008-06-01,8392
2008-07-01,8562
2008-08-01,8779
2008-09-01,7835
2008-10-01,7571
2008-11-01,9719
2008-12-01,13096
2009-01-01,8132
2009-02-01,7910
2009-03-01,7380
2009-04-01,6742
2009-05-01,7153
2009-06-01,7402
2009-07-01,7356
2009-08-01,7667
2009-09-01,7074
2009-10-01,6906
2009-11-01,9282
2009-12-01,12529
2010-01-01,7436
2010-02-01,7679
2010-03-01,7608
2010-04-01,7016
2010-05-01,7474
2010-06-01,7827
2010-07-01,7803
2010-08-01,7986
2010-09-01,7523
2010-10-01,7215
2010-11-01,9337
2010-12-01,12738
2011-01-01,7404
2011-02-01,7621
2011-03-01,8057
2011-04-01,7198
2011-05-01,7518
2011-06-01,7765
2011-07-01,7904
2011-08-01,8327
2011-09-01,7650
2011-10-01,7785
2011-11-01,10092
2011-12-01,12966
2012-01-01,7687
2012-02-01,8122
2012-03-01,8385
2012-04-01,7128
2012-05-01,7883
2012-06-01,7916
2012-07-01,8102
2012-08-01,8385
2012-09-01,7744
2012-10-01,7595
2012-11-01,10336
2012-12-01,13361
2013-01-01,8107
2013-02-01,8197
2013-03-01,8242
2013-04-01,7353
2013-05-01,7904
2013-06-01,7886
2013-07-01,8089
2013-08-01,8438
2013-09-01,7909
2013-10-01,8124
2013-11-01,10442
2013-12-01,13053
2014-01-01,7954
2014-02-01,7910
2014-03-01,8447
2014-04-01,7512
2014-05-01,8066
2014-06-01,7998
2014-07-01,8259
2014-08-01,8519
2014-09-01,8509
2014-10-01,8400
2014-11-01,10857
2014-12-01,13650
2015-01-01,8206
2015-02-01,7952
2015-03-01,8160
2015-04-01,7322
2015-05-01,7775
2015-06-01,8019
2015-07-01,8004
2015-08-01,8247
2015-09-01,8067
