Maturity,Coupon,Bid,Asked,Chg,Asked Yield
2/15/2016,0.375,100.0078,100.0234,-0.0078,-1.343
2/15/2016,4.5,100.0625,100.0781,-0.0156,-1.219
2/15/2016,9.25,100.0859,100.1016,-0.0391,1.704
2/29/2016,0.25,100.0156,100.0313,0.0078,-0.348
2/29/2016,2.125,100.1016,100.1172,-0.0156,-0.119
2/29/2016,2.625,100.1094,100.125,-0.0313,0.227
3/15/2016,0.375,100.0078,100.0234,-0.0156,0.124
3/31/2016,0.375,100.0078,100.0234,-0.0156,0.203
3/31/2016,2.25,100.2656,100.2813,-0.0156,0.189
3/31/2016,2.375,100.3125,100.3281,0.0156,-0.027
4/15/2016,0.25,99.9844,100,-0.0234,0.25
4/30/2016,0.375,100.0078,100.0234,-0.0156,0.268
4/30/2016,2,100.375,100.3906,-0.0078,0.221
4/30/2016,2.625,100.4688,100.4844,-0.0547,0.416
5/15/2016,0.25,99.9531,99.9688,-0.0859,0.37
5/15/2016,5.125,101.2188,101.2344,-0.0625,0.386
5/15/2016,7.25,101.7734,101.7891,-0.0391,0.382
5/31/2016,0.375,99.9766,99.9922,-0.0625,0.401
5/31/2016,1.75,100.3984,100.4141,-0.0469,0.382
5/31/2016,3.25,100.8594,100.875,-0.0391,0.36
6/15/2016,0.5,100.0313,100.0469,-0.0313,0.364
6/30/2016,0.5,100.0234,100.0391,-0.0391,0.399
6/30/2016,1.5,100.4219,100.4375,-0.0391,0.368
6/30/2016,3.25,101.1016,101.1172,-0.0313,0.361
7/15/2016,0.625,100.0938,100.1094,-0.0234,0.369
7/31/2016,0.5,100.0234,100.0391,-0.0391,0.417
7/31/2016,1.5,100.5234,100.5391,-0.0078,0.357
7/31/2016,3.25,101.3125,101.3281,-0.0156,0.433
8/15/2016,0.625,100.0781,100.0938,-0.0078,0.442
8/15/2016,4.875,102.2656,102.2813,-0.0156,0.424
8/31/2016,0.5,100,100.0156,-0.0156,0.472
8/31/2016,1,100.2813,100.2969,-0.0234,0.461
8/31/2016,3,101.3672,101.3828,-0.0391,0.489
9/15/2016,0.875,100.1875,100.2031,-0.0703,0.532
9/30/2016,0.5,100,100.0156,0.0078,0.475
9/30/2016,1,100.3125,100.3281,0.0078,0.483
9/30/2016,3,101.5625,101.5781,-0.0078,0.513
10/15/2016,0.625,100.0703,100.0859,unch.,0.498
10/31/2016,0.375,99.8984,99.9141,0.0156,0.495
10/31/2016,1,100.3203,100.3359,-0.0078,0.532
10/31/2016,3.125,101.8359,101.8516,-0.0078,0.543
11/15/2016,0.625,100.0469,100.0625,-0.0078,0.542
11/15/2016,4.625,103.0625,103.0781,-0.0156,0.565
11/15/2016,7.5,105.2422,105.2578,-0.0391,0.565
11/30/2016,0.5,99.9453,99.9609,-0.0078,0.549
11/30/2016,0.875,100.2578,100.2734,unch.,0.533
11/30/2016,2.75,101.7344,101.75,-0.0078,0.563
12/15/2016,0.625,100.0469,100.0625,-0.0156,0.551
12/31/2016,0.625,100,100.0391,unch.,0.605
12/31/2016,0.875,100.2578,100.2734,-0.0234,0.566
12/31/2016,3.25,102.3281,102.3438,-0.0391,0.597
1/15/2017,0.75,100.1484,100.1641,-0.0234,0.573
1/31/2017,0.5,99.9141,99.9297,unch.,0.573
1/31/2017,0.875,100.2656,100.2813,-0.0078,0.585
1/31/2017,3.125,102.4453,102.4609,0.0078,0.584
2/15/2017,0.625,100.0391,100.0547,0.0078,0.571
2/15/2017,4.625,104.0391,104.0547,-0.0234,0.606
2/28/2017,0.5,99.8984,99.9141,-0.0078,0.582
2/28/2017,0.875,100.2656,100.2813,-0.0156,0.606
2/28/2017,3,102.4766,102.4922,-0.0234,0.62
3/15/2017,0.75,100.1406,100.1563,-0.0234,0.606
3/31/2017,0.5,99.8672,99.8828,-0.0391,0.604
3/31/2017,1,100.4375,100.4531,-0.0234,0.599
3/31/2017,3.25,102.9531,102.9688,-0.0391,0.624
4/15/2017,0.875,100.2969,100.3125,unch.,0.608
4/30/2017,0.5,99.8516,99.8672,unch.,0.609
4/30/2017,0.875,100.2891,100.3047,-0.0156,0.624
4/30/2017,3.125,103.0078,103.0234,-0.0234,0.632
5/15/2017,0.875,100.2656,100.2813,-0.0391,0.651
5/15/2017,4.5,104.8203,104.8359,-0.0703,0.643
5/15/2017,8.75,110.1953,110.2109,-0.0859,0.608
5/31/2017,0.625,99.9063,99.9219,-0.0938,0.685
5/31/2017,2.75,102.6797,102.6953,-0.0859,0.669
6/15/2017,0.875,100.25,100.2656,-0.0703,0.676
6/30/2017,0.625,99.9141,99.9297,-0.0938,0.676
6/30/2017,0.75,100.0859,100.1016,-0.0859,0.676
6/30/2017,2.5,102.5,102.5156,-0.0859,0.675
7/15/2017,0.875,100.2578,100.2734,-0.0859,0.682
7/31/2017,0.5,99.7266,99.7422,-0.0703,0.676
7/31/2017,0.625,99.8906,99.9063,-0.0781,0.689
7/31/2017,2.375,102.4453,102.4609,-0.0938,0.692
8/15/2017,4.75,106.0938,106.1094,-0.125,0.686
8/15/2017,8.875,112.3906,112.4063,-0.0938,0.627
8/31/2017,0.625,99.8516,99.8672,-0.1094,0.711
8/31/2017,1.875,101.7891,101.8047,-0.1094,0.704
9/15/2017,1,100.4531,100.4688,-0.0703,0.704
9/30/2017,0.625,99.8281,99.8438,-0.1328,0.721
9/30/2017,1.875,101.8984,101.9141,-0.0938,0.697
10/15/2017,0.875,100.2578,100.2734,-0.1094,0.711
10/31/2017,0.75,100.0313,100.0469,-0.125,0.722
10/31/2017,1.875,101.9531,101.9688,-0.1016,0.721
11/15/2017,0.875,100.2734,100.2891,-0.1016,0.709
11/15/2017,4.25,106.1484,106.1641,-0.1016,0.721
11/30/2017,0.625,99.8594,99.875,-0.0625,0.695
11/30/2017,0.875,100.3047,100.3203,-0.0781,0.696
11/30/2017,2.25,102.7188,102.7344,-0.0781,0.721
12/15/2017,1,100.5625,100.5781,-0.0391,0.684
12/31/2017,0.75,100.0859,100.1016,-0.0469,0.696
12/31/2017,1,100.5469,100.5625,-0.0703,0.699
12/31/2017,2.75,103.7734,103.7891,-0.1016,0.725
1/15/2018,0.875,100.3047,100.3203,-0.0703,0.707
1/31/2018,0.75,100.125,100.1406,-0.0547,0.678
1/31/2018,0.875,100.2969,100.3125,-0.0625,0.715
1/31/2018,2.625,103.7109,103.7266,-0.1016,0.719
2/15/2018,1,100.5391,100.5547,-0.0859,0.722
2/15/2018,3.5,105.5156,105.5313,-0.0547,0.728
2/28/2018,0.75,100.0391,100.0547,-0.0625,0.723
2/28/2018,2.75,104.0781,104.0938,-0.1016,0.736
3/15/2018,1,100.5703,100.5859,-0.0391,0.717
3/31/2018,0.75,100.0625,100.0781,-0.0313,0.713
3/31/2018,2.875,104.4844,104.5,-0.0703,0.748
4/15/2018,0.75,99.9922,100.0078,-0.0781,0.746
4/30/2018,0.625,99.6953,99.7109,-0.0859,0.757
4/30/2018,2.625,104.0859,104.1016,-0.0859,0.758
5/15/2018,1,100.5078,100.5234,-0.0781,0.766
5/15/2018,3.875,107.0469,107.0625,-0.0781,0.72
5/15/2018,9.125,118.8828,118.8984,-0.0781,0.686
5/31/2018,1,100.5156,100.5313,-0.0625,0.767
5/31/2018,2.375,103.6563,103.6719,-0.0938,0.764
6/15/2018,1.125,100.8516,100.8672,-0.0547,0.751
6/30/2018,1.375,101.4609,101.4766,-0.0547,0.75
6/30/2018,2.375,103.8672,103.8828,-0.0703,0.731
7/15/2018,0.875,100.2266,100.2422,-0.0859,0.774
7/31/2018,1.375,101.4766,101.4922,-0.0625,0.765
7/31/2018,2.25,103.6328,103.6484,-0.0938,0.758
8/15/2018,1,100.5313,100.5469,-0.0547,0.78
8/15/2018,4,108.1797,108.1953,-0.1016,0.705
8/31/2018,1.5,101.8203,101.8359,-0.0625,0.772
9/15/2018,1,100.5078,100.5234,-0.0625,0.796
9/30/2018,1.375,101.5078,101.5234,-0.0625,0.79
10/15/2018,0.875,100.1641,100.1797,-0.0703,0.807
10/31/2018,1.25,101.1563,101.1719,-0.0703,0.813
10/31/2018,1.75,102.5391,102.5547,-0.0625,0.798
11/15/2018,1.25,101.1484,101.1641,-0.0781,0.823
11/15/2018,3.75,108.0313,108.0469,-0.0938,0.797
11/15/2018,9,122.4297,122.4453,-0.125,0.768
11/30/2018,1.25,101.1719,101.1875,-0.0938,0.821
11/30/2018,1.375,101.5156,101.5313,-0.0859,0.821
12/15/2018,1.25,101.1641,101.1797,-0.1016,0.829
