"","date.maturity","Maturity","Coupon","Bid","Asked","Chg","Asked.Yield","Period"
"1",2016-06-30,"6/30/2016",0.5,100.0234,100.0391,"-0.0391",0.399,1
"2",2016-06-30,"6/30/2016",1.5,100.4219,100.4375,"-0.0391",0.368,1
"3",2016-06-30,"6/30/2016",3.25,101.1016,101.1172,"-0.0313",0.361,1
"4",2016-12-31,"12/31/2016",0.625,100,100.0391,"unch.",0.605,2
"5",2016-12-31,"12/31/2016",0.875,100.2578,100.2734,"-0.0234",0.566,2
"6",2016-12-31,"12/31/2016",3.25,102.3281,102.3438,"-0.0391",0.597,2
"7",2017-06-30,"6/30/2017",0.625,99.9141,99.9297,"-0.0938",0.676,3
"8",2017-06-30,"6/30/2017",0.75,100.0859,100.1016,"-0.0859",0.676,3
"9",2017-06-30,"6/30/2017",2.5,102.5,102.5156,"-0.0859",0.675,3
"10",2017-12-31,"12/31/2017",0.75,100.0859,100.1016,"-0.0469",0.696,4
"11",2017-12-31,"12/31/2017",1,100.5469,100.5625,"-0.0703",0.699,4
"12",2017-12-31,"12/31/2017",2.75,103.7734,103.7891,"-0.1016",0.725,4
"13",2018-06-30,"6/30/2018",1.375,101.4609,101.4766,"-0.0547",0.75,5
"14",2018-06-30,"6/30/2018",2.375,103.8672,103.8828,"-0.0703",0.731,5
"15",2018-12-31,"12/31/2018",1.375,101.5078,101.5234,"-0.0703",0.84,6
"16",2018-12-31,"12/31/2018",1.5,101.8672,101.8828,"-0.0781",0.839,6
"17",2019-06-30,"6/30/2019",1,100.2109,100.2266,"-0.0547",0.932,7
"18",2019-06-30,"6/30/2019",1.625,102.2734,102.2891,"-0.0625",0.937,7
"19",2019-12-31,"12/31/2019",1.125,100.3203,100.3359,"-0.0547",1.037,8
"20",2019-12-31,"12/31/2019",1.625,102.2031,102.2188,"-0.0625",1.041,8
"21",2020-06-30,"6/30/2020",1.625,102.1484,102.1641,"-0.0625",1.118,9
"22",2020-06-30,"6/30/2020",1.875,103.2578,103.2734,"-0.0547",1.108,9
"23",2020-12-31,"12/31/2020",1.75,102.7734,102.7891,"-0.0391",1.161,10
"24",2020-12-31,"12/31/2020",2.375,105.5781,105.5938,"-0.0547",1.193,10
"25",2021-06-30,"6/30/2021",2.125,104.4141,104.4297,"-0.0547",1.272,11
"26",2021-12-31,"12/31/2021",2.125,104.3047,104.3203,"-0.125",1.359,12
